"Date/Time","Lat","Lon","Base"
"4/16/2014 22:21:00",40.7403,-74.0059,"B02512"
"4/16/2014 22:48:00",40.7407,-74.0071,"B02512"
"4/17/2014 9:25:00",40.7406,-74.0068,"B02512"
"4/17/2014 18:57:00",40.7409,-74.0076,"B02512"
"4/17/2014 18:57:00",40.7409,-74.0076,"B02512"
"4/17/2014 19:57:00",40.7407,-74.0069,"B02512"
"4/17/2014 20:07:00",40.7408,-74.0077,"B02512"
"4/17/2014 21:37:00",40.7396,-74.0062,"B02512"
"4/17/2014 21:55:00",40.7403,-74.0061,"B02512"
"4/17/2014 22:51:00",40.7405,-74.0078,"B02512"
"4/17/2014 23:15:00",40.7398,-74.0067,"B02512"
"4/17/2014 23:38:00",40.7406,-74.0063,"B02512"
"4/18/2014 10:34:00",40.7408,-74.0076,"B02512"
"4/18/2014 13:46:00",40.7405,-74.0065,"B02512"
"4/18/2014 19:39:00",40.74,-74.0069,"B02512"
"4/18/2014 22:41:00",40.7398,-74.0067,"B02512"
"4/19/2014 0:28:00",40.7407,-74.0076,"B02512"
"4/19/2014 0:33:00",40.7402,-74.0059,"B02512"
"4/19/2014 9:59:00",40.7399,-74.006,"B02512"
"4/19/2014 15:10:00",40.7398,-74.006,"B02512"
"4/20/2014 3:29:00",40.7409,-74.0075,"B02512"
"4/20/2014 3:51:00",40.74,-74.0061,"B02512"
"4/20/2014 9:13:00",40.7406,-74.0078,"B02512"
"4/20/2014 12:02:00",40.7405,-74.0078,"B02512"
"4/20/2014 21:12:00",40.7399,-74.0059,"B02512"
"4/21/2014 18:33:00",40.7406,-74.0078,"B02512"
"4/22/2014 9:58:00",40.7408,-74.0076,"B02512"
"4/22/2014 15:20:00",40.7408,-74.0069,"B02512"
"4/23/2014 11:12:00",40.741,-74.0077,"B02512"
"4/23/2014 14:43:00",40.7394,-74.0061,"B02512"
"4/23/2014 15:04:00",40.74,-74.0062,"B02512"
"4/23/2014 20:08:00",40.7406,-74.0077,"B02512"
"4/23/2014 21:17:00",40.7398,-74.0069,"B02512"
"4/23/2014 21:31:00",40.7399,-74.0067,"B02512"
"4/23/2014 22:42:00",40.7405,-74.0062,"B02512"
"4/24/2014 2:05:00",40.7394,-74.0067,"B02512"
"4/24/2014 9:03:00",40.7397,-74.0062,"B02512"
"4/24/2014 12:03:00",40.7409,-74.0075,"B02512"
"4/24/2014 14:09:00",40.7396,-74.0062,"B02512"
"4/24/2014 15:07:00",40.7399,-74.0071,"B02512"
"4/24/2014 18:39:00",40.7408,-74.0076,"B02512"
"4/24/2014 19:43:00",40.7397,-74.0062,"B02512"
"4/24/2014 21:37:00",40.7408,-74.0076,"B02512"
"4/24/2014 22:27:00",40.7405,-74.006,"B02512"
"4/25/2014 11:19:00",40.7395,-74.0076,"B02512"
"4/25/2014 13:55:00",40.7401,-74.006,"B02512"
"4/25/2014 21:04:00",40.7404,-74.0061,"B02512"
"4/25/2014 21:19:00",40.7399,-74.0061,"B02512"
"4/25/2014 21:22:00",40.7405,-74.0063,"B02512"
"4/25/2014 22:30:00",40.7394,-74.0071,"B02512"
"4/25/2014 22:51:00",40.7407,-74.007,"B02512"
"4/25/2014 23:46:00",40.7409,-74.0076,"B02512"
"4/26/2014 0:19:00",40.7399,-74.0061,"B02512"
"4/26/2014 0:21:00",40.7403,-74.0059,"B02512"
"4/26/2014 2:48:00",40.74,-74.0069,"B02512"
"4/26/2014 10:10:00",40.7409,-74.0076,"B02512"
"4/26/2014 16:35:00",40.7407,-74.0078,"B02512"
"4/26/2014 17:31:00",40.7394,-74.0064,"B02512"
"4/26/2014 19:24:00",40.7398,-74.0061,"B02512"
"4/26/2014 21:03:00",40.7408,-74.0067,"B02512"
"4/26/2014 21:16:00",40.7401,-74.0072,"B02512"
"4/26/2014 21:41:00",40.7408,-74.0074,"B02512"
"4/26/2014 21:45:00",40.7406,-74.0067,"B02512"
"4/26/2014 23:24:00",40.7401,-74.0074,"B02512"
"4/26/2014 23:25:00",40.7408,-74.0067,"B02512"
"4/26/2014 23:56:00",40.7403,-74.0059,"B02512"
"4/27/2014 0:06:00",40.7407,-74.0069,"B02512"
"4/27/2014 0:14:00",40.7397,-74.0066,"B02512"
"4/27/2014 0:18:00",40.7402,-74.0059,"B02512"
"4/27/2014 0:20:00",40.7399,-74.0061,"B02512"
"4/27/2014 0:44:00",40.7394,-74.007,"B02512"
"4/27/2014 1:24:00",40.7393,-74.0065,"B02512"
"4/27/2014 2:31:00",40.7396,-74.0063,"B02512"
"4/27/2014 11:49:00",40.7406,-74.0077,"B02512"
"4/27/2014 19:01:00",40.7398,-74.0067,"B02512"
"4/27/2014 19:19:00",40.7399,-74.0061,"B02512"
"4/27/2014 20:08:00",40.7398,-74.0062,"B02512"
"4/28/2014 9:38:00",40.7407,-74.007,"B02512"
"4/28/2014 20:25:00",40.7407,-74.0078,"B02512"
"4/29/2014 9:18:00",40.74,-74.0059,"B02512"
"4/29/2014 14:25:00",40.7407,-74.0069,"B02512"
